iter	Passed	Remaining
880	1191	160
881	1192	159
882	1193	158
883	1194	156
884	1195	155
885	1196	153
886	1197	152
887	1198	151
888	1199	149
889	1200	148
890	1201	147
891	1202	145
892	1203	144
893	1204	142
894	1205	141
895	1206	140
896	1207	138
897	1208	137
898	1209	135
899	1210	134
900	1211	133
901	1212	131
902	1213	130
903	1214	128
904	1215	127
905	1216	126
906	1218	124
907	1218	123
908	1219	122
909	1220	120
910	1221	119
911	1222	118
912	1223	116
913	1224	115
914	1225	113
915	1226	112
916	1228	111
917	1229	109
918	1230	108
919	1231	107
920	1232	105
921	1233	104
922	1234	102
923	1235	101
924	1236	100
925	1237	98
926	1239	97
927	1240	96
928	1241	94
929	1242	93
930	1243	92
931	1244	90
932	1246	89
933	1247	88
934	1248	86
935	1249	85
936	1250	84
937	1251	82
938	1252	81
939	1253	80
940	1254	78
941	1255	77
942	1256	75
943	1257	74
944	1258	73
945	1259	71
946	1260	70
947	1261	69
948	1262	67
949	1264	66
950	1265	65
951	1266	63
952	1267	62
953	1268	61
954	1269	59
955	1270	58
956	1271	57
957	1272	55
958	1273	54
959	1274	53
960	1275	51
961	1276	50
962	1277	49
963	1278	47
964	1279	46
965	1280	45
966	1281	43
967	1282	42
968	1283	41
969	1284	39
970	1285	38
971	1286	37
972	1288	35
973	1289	34
974	1290	33
975	1291	31
976	1292	30
977	1293	29
978	1294	27
979	1295	26
980	1296	25
981	1297	23
982	1299	22
983	1300	21
984	1301	19
985	1302	18
986	1303	17
987	1304	15
988	1305	14
989	1306	13
990	1307	11
991	1309	10
992	1310	9
993	1311	7
994	1312	6
995	1313	5
996	1314	3
997	1315	2
998	1316	1
999	1317	0
